merged_row_index,query,script_title,overall_rating,剧情,推理,悬疑,欢乐,情感,机制,还原,沉浸,演绎,玩法,故事,难度,互动,立意,阵营,本格,变格,恐怖,硬核,want_count,played_count,review_count,publishers,metadata,tags,source_file,source_app,source_platform,male_count,female_count,total_players_from_gender,total_players_mentioned,duration_hours,difficulty,release_year,release_month,total_players,release_date,duration_bin,suspicious_want_count,usable_for_popularity_analysis
1,蜕变俱乐部2,蜕变俱乐部2：海的女儿,7.2,7.1,0.0,0.0,0.0,6.5,6.9,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,7607.0,14689.0,198,阿斯巴甜,4男3女 4.0小时 高阶 2020.08发行,欧美 机制 沉浸 童话,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,3,7,,4.0,高阶,2020,8,7,2020-08-01,3-4h,False,True
2,今夕何夕,今夕何夕,6.7,7.0,6.4,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2.8,19494.0,250,KEYS工作室,5男2女 4.5小时 进阶 2020.08发行,古风 推理 沉浸 家国,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,5,2,7,,4.5,进阶,2020,8,7,2020-08-01,4-5h,True,False
3,蜕变俱乐部,蜕变俱乐部,7.3,7.2,0.0,7.1,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2.6,17865.0,239,阿斯巴甜,4男3女 5.0小时 高阶 2020.06发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,3,7,,5.0,高阶,2020,6,7,2020-06-01,4-5h,True,False
4,土狗,土狗,8.0,7.7,0.0,7.6,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,5049.0,37782.0,5692,解语花剧本工作室,4男2女 7.0小时 进阶 2025.06发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,2,6,,7.0,进阶,2025,6,6,2025-06-01,6-8h,False,True
12,雉双归,雉双归,8.0,7.7,7.3,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,2.8,33133.0,1608,慢热TUO,【5小时/令翼/没有边缘/体验分：8分】 ✅一句话总结：宝藏盒装有机会快来补课呀！ 『🌟关键词：ip本，推理情感并重，流程衔接顺畅，文笔细腻，故事分享大会，有结局抉择』 『🌟角色体验：男女玩家体验没有明...全文,古风 推理 沉浸 武侠,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,,,,,5.0,,,,,,4-5h,True,False
14,俞家旅店,俞家旅店,7.2,6.8,6.7,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1338.0,3951.0,190,百川望辰工作室,3男1女 2.0小时 新手,架空 推理 悬疑 新手,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,1,4,,2.0,新手,,,4,,<=3h,False,True
16,你还有遗憾吗,你还有遗憾吗,6.7,6.3,0.0,0.0,0.0,6.4,0.0,0.0,0.0,6.1,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,3110.0,101,西安如约而至; 天津剧盟发行工作室,2男4女 4.5小时 新手 2021.08发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,2,4,6,,4.5,新手,2021,8,6,2021-08-01,4-5h,True,False
18,兔子的世界下起了胡萝卜雨,兔子的世界下起了胡萝卜雨,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,0.0,0,九袋剧探,3男3女 4.5小时 新手,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,4.5,新手,,,6,,4-5h,True,False
19,将死未死的THX,将死未死的THX,6.1,6.5,6.4,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,14084.0,33466.0,1143,满分工作室; DA剧本工场,【将死未死的THX】反转／推理／还原／悬疑 【角色时长】眼镜男／7小时 【人数配置】4男2女／可反串 【推荐角色】无边缘位，确实想上车体验的话推荐衬衫男／卫衣女 【选店建议】该本对DM要求极高！不是演...全文,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,4,2,6,,7.0,,,,6,,6-8h,False,True
20,大雪侦探和倒霉蛋,大雪，侦探和倒霉蛋,8.3,7.8,0.0,7.4,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1.1,88756.0,6011,苏墨工作室; 起源ORIGIN工作室,3男3女 6.0小时 高阶 2022.06发行,,huxiaoli_ipad_ratings.csv,huxiaoli,ipad,3,3,6,,6.0,高阶,2022,6,6,2022-06-01,5-6h,True,False
