query,script_title,overall_rating,剧情,推理,悬疑,欢乐,情感,机制,还原,沉浸,演绎,玩法,故事,难度,互动,立意,阵营,本格,变格,恐怖,硬核,want_count,played_count,review_count,publishers,metadata,tags
雨夜感染者,雨夜感染者,8.3,7.4,0,0,0,0,7.4,0,0,0,0,0,0,0,7.7,0,0,0,0,0,2962,4438,287,惊人院,《雨夜感染者》⭐️⭐️⭐️⭐️ 📖剧本类型：中式/都市/机制/立意 👦🏻玩家配置：④人本（不限男女） ⏰体验时长：③小时 你是粉刷匠，一个“零污渍”...全文,
无限调查局6.5h现代推理其他,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
朝露辞,朝露辞,7.7,7.1,0,0,0,7.6,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,1.1,59732,7360,东方剧制,百本选手说剧本:剧本《朝露辞》6人本 3男3女（不可反串）剧本类型:城限本 情感本 游戏时间:8小时左右 👬适合人群：情感本 玩家 ❤剧情感...全文,古风 情感 沉浸 其他
散场2·遗憾也值得,散场2：遗憾也值得,7.7,7.3,0,0,0,7.7,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,1.1,18829,1593,怪兽入侵,百本选手说剧本:剧本《散场2:遗憾也值得》6人本 3男3女（不🉑反串）剧本类型:城限本 情感本 游戏时间:7小时 左右 👬适合人群：恋爱中的情侣👩‍❤️‍👨 （...全文,现代 情感 沉浸 都市
灯影里的乌有乡,灯影里的乌有乡,8.5,7.8,0,0,0,8.2,0,0,8.2,0,0,0,0,0,0,0,0,0,0,0,1.1,54963,7186,长青工作室,百本选手说剧本:剧本《灯影里的乌有乡》6人本 3男3女（不可反串）剧本类型:城限本 情感本 游戏时间:7小时左右 👬适合人群：没有玩过《红豆》《春风》以及 纯新手玩家 5...全文,民国 情感 沉浸 其他
穿青,穿青,7.2,7.3,0,6.7,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,5049,12851,1338,Siren剧本工作室,3男3女 6.0小时 进阶 2024.05发行,
盒子先生的秘密商店,盒子先生的秘密商店,6.8,6.9,0,0,0,0,0,6.9,6.9,0,0,0,0,0,0,0,0,0,0,0,14006,34307,2367,,4男3女 4.5小时 新手 2024.07发行,
十万八千梦整理,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
巫女2安妮弗斯的奇遇记,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
再见黎明,《再见黎明》,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,入局文化,3男3女 4.5小时 新手 2021.11发行,民国 情感 演绎 新手
相思引,相思引,6.8,6.6,0,0,0,7.0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,1.1,23838,3373,道友留步,3男3女 6.0小时 进阶 2024.08发行,古风 情感 沉浸 家国
双炽岛,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
琼崖2天涯海角无水印,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
时针岛的谋杀谜题,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
抓小三-哈尔滨,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
北宋奇案汴京,北宋奇案·汴京,8.6,7.7,8.5,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4850,126750,15711,灰烬工作室,百本选手说剧本:剧本《北宋奇案•汴京》6人本 4男2女（🉑以反串）剧本类型:城限本 硬核本 （密室）8推理:2还原 游戏时间:10小时左右 👬适合人群：硬核 玩家 喜欢 盘 密室 的 玩家 ...全文,古风 推理 悬疑 其他
雀色蝉时雨,雀色蝉时雨,8.0,7.7,0,7.1,0,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,13946,14745,1850,,4男2女 7.0小时 进阶 2024.12发行,
柯罗诺斯夜的绝响,柯罗诺斯夜的绝响,7.6,7.6,0,0,0,0,0,6.9,7.3,0,0,0,0,0,0,0,0,0,0,0,1.4,14642,1694,低空飞行,【7小时/克里斯/有大c大边/体验分：1分】 ❎一句话总结：看见朵拉被锁的一定不要上车！ 『🌙关键词：故事不错，角色边c极其严重，无效信息多，推理逻辑软』 『🌙角色体验：女生角色体验远优于男生；...全文,
那一束月光3,那一束月光3：月亮坠落了一千次,7.7,7.3,0,0,0,7.5,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,1.1,32061,2541,神域文化,3男3女 5.0小时 新手 2024.04发行,现代 情感 沉浸 都市
侧写师,侧写师,5.8,0,0,0,0,0,0,6.9,6.9,0,0,0,0,0,0,0,0,0,0,0,4850,10035,682,戏人间,4男4女 4.0小时 新手 2024.06发行,
二分之一世界推理法则,二分之一世界推理法则,8.7,7.8,8.1,0,0,0,0,0,0,0,8.2,0,0,0,0,0,0,0,0,0,4850,82134,10315,KEYS工作室; 引力弹弓,4男2女 6.0小时 进阶 2024.04发行,
撕裂神之诡面,撕裂神之诡面,8.2,6.6,8.1,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,4851,38187,5565,集闲社文创,🌟《撕裂神之诡面》🌟架空｜设定｜推理👏 体验店铺：橋Free沉浸体验馆 体验时长：7-8小时 DM：闪电⚡️⚡️⚡️ 玩家配置：三男三女（最好有一个...全文,
纯白少年的慢性死亡,纯白少年的慢性死亡,6.7,7.0,0,6.4,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,5049,57348,4014,鑫梦人生,剧本类型:故事汇 人数配置:3男4女 剧本时长:3h 推荐指数:3/10分 体验角色：紫色 一个时长三小时，评分也3分的新手本，破冰...全文,
枯荣,枯荣,7.1,6.9,0,0,0,7.4,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,1.1,18587,1955,浮生梦文创; 德雾昂剧制,3男3女 6.0小时 进阶 2024.03发行,古风 情感 沉浸 玄幻
玄都,玄都,7.1,6.9,0,0,0,7.2,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,1.1,16000,1823,月影工作室,3男3女 5.5小时 进阶 2024.08发行,架空 情感 沉浸 神话
帝辛无水印,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
